model_name,train_acc,train_loss,val_acc,val_loss
mask6,"[0.21797752808988763, 0.300561797752809, 0.38202247191011235, 0.5685393258426966, 0.7786516853932585, 0.8910112359550562, 0.9483146067415731, 0.9775280898876404]","[0.28303287571735597, 0.2640440569499905, 0.24467304502980092, 0.21303546411937543, 0.16232821750506926, 0.11380075870939854, 0.08159683667374461, 0.056965727426027984]","[0.24774774774774774, 0.3063063063063063, 0.4594594594594595, 0.6216216216216216, 0.8513513513513513, 0.9099099099099099, 0.9459459459459459, 0.963963963963964]","[0.2711516054900917, 0.25653956172702547, 0.23652489281989433, 0.1966009454147236, 0.13343287803031303, 0.09915109864763312, 0.06823762331728463, 0.05370540775962778]"
mask_dyn_grow1,"[0.2556179775280899, 0.3398876404494382, 0.5106741573033707, 0.7601123595505618, 0.9011235955056179, 0.9584269662921349, 0.9707865168539326, 0.9825842696629213]","[0.2688382394528121, 0.2536936859401424, 0.21952855044536376, 0.15914693337477995, 0.1027609209582377, 0.06360710827068666, 0.04213630637007483, 0.02997588032668226]","[0.2927927927927928, 0.40540540540540543, 0.6486486486486487, 0.8693693693693694, 0.9504504504504504, 0.954954954954955, 0.954954954954955, 0.963963963963964]","[0.26508120856843553, 0.2402962693223008, 0.18794336834469358, 0.12105348061870884, 0.07534124957280117, 0.04968245851026999, 0.03719638264528266, 0.03124819632183324]"
mask_dyn10,"[0.21741573033707864, 0.3112359550561798, 0.5640449438202247, 0.803932584269663, 0.9078651685393259, 0.9662921348314607, 0.9808988764044944, 0.9853932584269663]","[0.2721204947219806, 0.2601993449618307, 0.21732895993784573, 0.14292472158924918, 0.09389789744039599, 0.0594580564647913, 0.03884678852608365, 0.026850166219924945]","[0.2702702702702703, 0.33783783783783783, 0.7162162162162162, 0.8693693693693694, 0.9594594594594594, 0.9774774774774775, 0.9864864864864865, 0.990990990990991]","[0.26858144730061023, 0.2509866544792244, 0.17625977944683385, 0.11349324626965565, 0.0723251060054109, 0.04681963161439509, 0.031560998208619455, 0.02380709635379078]"
mask15,"[0.3292134831460674, 0.44213483146067417, 0.4713483146067416, 0.5617977528089888, 0.802247191011236, 0.8915730337078651, 0.95, 0.9758426966292135]","[0.25775739677836385, 0.2306939426097977, 0.2108575115712841, 0.18742225749439068, 0.1258243831188491, 0.08640464690796446, 0.06034618616522698, 0.04120057759325156]","[0.4099099099099099, 0.46396396396396394, 0.481981981981982, 0.6846846846846847, 0.8423423423423423, 0.9324324324324325, 0.9504504504504504, 0.9684684684684685]","[0.23701347101916065, 0.21700410397203118, 0.1987498405280414, 0.1631682458761576, 0.101848140963026, 0.06993461641910914, 0.0510391744675937, 0.03643112961907644]"
mask6,"[0.2640449438202247, 0.3595505617977528, 0.44269662921348313, 0.5741573033707865, 0.8842696629213483, 0.9617977528089887, 0.9792134831460674, 0.9893258426966293]","[0.2662998201472036, 0.25198544598697276, 0.23368339022893583, 0.19831363619043585, 0.11762317176280397, 0.06441282550438067, 0.04096695627556758, 0.028609517116225166]","[0.3333333333333333, 0.42342342342342343, 0.5405405405405406, 0.7702702702702703, 0.9594594594594594, 0.9684684684684685, 0.9774774774774775, 0.972972972972973]","[0.2551213100149825, 0.24002567336365982, 0.21347136245117532, 0.15206284028989775, 0.07990425234442358, 0.050108102527824605, 0.035691900061325985, 0.02881602375759735]"
mask_dyn_grow1,"[0.3308988764044944, 0.4460674157303371, 0.48651685393258426, 0.5353932584269663, 0.6247191011235955, 0.753370786516854, 0.8230337078651685, 0.8556179775280899]","[0.2535009327899204, 0.2238165974951862, 0.2080915588341402, 0.19263808397429713, 0.17497635159767075, 0.13892169520258904, 0.10599614194269931, 0.08755308125963372]","[0.4009009009009009, 0.46846846846846846, 0.481981981981982, 0.5315315315315315, 0.7072072072072072, 0.8333333333333334, 0.8963963963963963, 0.8918918918918919]","[0.2361278117776991, 0.21134107606905, 0.20096699262524512, 0.18491650862736744, 0.15697304635971515, 0.11814180029942109, 0.08355701577153292, 0.07140973022392204]"
mask_dyn10,"[0.23089887640449439, 0.32303370786516855, 0.55, 0.7764044943820225, 0.802247191011236, 0.8112359550561797, 0.8174157303370787, 0.8303370786516854]","[0.26800176260176667, 0.2594304248188319, 0.218059127417843, 0.1392590882570556, 0.09996164572540293, 0.08117136177135988, 0.07119721263814509, 0.06486422655831897]","[0.26576576576576577, 0.3738738738738739, 0.7387387387387387, 0.7927927927927928, 0.7927927927927928, 0.7927927927927928, 0.8018018018018018, 0.8468468468468469]","[0.2633585505657368, 0.25267345411283476, 0.17478776890952308, 0.11434435226895788, 0.09068913764513291, 0.08070516626577119, 0.0706575537721316, 0.06660664009416963]"
mask15,"[0.2550561797752809, 0.38820224719101126, 0.599438202247191, 0.753370786516854, 0.8741573033707866, 0.9471910112359551, 0.9679775280898877, 0.9797752808988764]","[0.27155326269985586, 0.245332121447231, 0.19773739539505392, 0.15004060008887496, 0.09921848827533508, 0.058174843257397746, 0.035670847284576195, 0.023520678382241325]","[0.3063063063063063, 0.5, 0.6666666666666666, 0.7837837837837838, 0.9324324324324325, 0.9774774774774775, 0.9774774774774775, 0.9819819819819819]","[0.26322757338618374, 0.22048247316936115, 0.1712525862831253, 0.12334124529146934, 0.06752343120070191, 0.03893332247127284, 0.02754922860578911, 0.019463471783039806]"
mask6,"[0.2353932584269663, 0.31404494382022474, 0.5196629213483146, 0.7949438202247191, 0.950561797752809, 0.9713483146067415, 0.9792134831460674, 0.9814606741573034]","[0.27078681822573203, 0.25619378083207633, 0.21944418090782808, 0.1522449072157399, 0.08225555693667926, 0.05196659705612097, 0.03602986286362905, 0.027421874488086515]","[0.2882882882882883, 0.33783783783783783, 0.6576576576576577, 0.9279279279279279, 0.9504504504504504, 0.963963963963964, 0.9684684684684685, 0.9684684684684685]","[0.26078804280306844, 0.24931493428376345, 0.19196770400614352, 0.10149759510615924, 0.06729027299999117, 0.044805200384543824, 0.03599363692977407, 0.027480376213117764]"
mask_dyn_grow1,"[0.33876404494382023, 0.4752808988764045, 0.5932584269662922, 0.7101123595505618, 0.7803370786516854, 0.8820224719101124, 0.9707865168539326, 0.9865168539325843]","[0.25009440766291674, 0.21794461584493016, 0.19436458381039373, 0.15575237967325062, 0.1227584795670563, 0.09038969578033083, 0.05307945407341035, 0.03118109999412901]","[0.45495495495495497, 0.5720720720720721, 0.6666666666666666, 0.7882882882882883, 0.8513513513513513, 0.9324324324324325, 0.9684684684684685, 0.9594594594594594]","[0.2166229320002032, 0.1994681489897204, 0.16661769084565276, 0.12971058998021995, 0.09929065976862435, 0.06591221633123921, 0.038813237436451355, 0.029319200463391638]"
