mask_percent,mlm_acc_each_epoch,mlm_loss_each_epoch
15,"[[0.034564451463977644, 0.11353419997570162, 0.13491677803426072, 0.1400801846677196, 0.14700522415259384, 0.1596403839144697, 0.1778034260721662, 0.19238245656663833, 0.19766735512088446, 0.1900133641112866]]","[[0.37205231189727783, 0.20182903110980988, 0.15331622958183289, 0.14402763545513153, 0.11170704662799835, 0.09771429747343063, 0.08505548536777496, 0.14110369980335236, 0.10633604228496552, 0.12034334987401962]]"
14,"[[0.01491948734801183, 0.09569503779165298, 0.12717712783437396, 0.13434111074597438, 0.14019060138021688, 0.15149523496549458, 0.1685836345711469, 0.18317449884981926, 0.18363457114689452, 0.1806769635228393]]","[[0.4461681842803955, 0.22425813972949982, 0.14570169150829315, 0.09981360286474228, 0.13558456301689148, 0.08669950813055038, 0.128079354763031, 0.10526188462972641, 0.06966345757246017, 0.10790690034627914]]"
13,"[[0.02877997914494265, 0.11289537712895377, 0.13423705248522766, 0.1416753562738964, 0.14827945776850887, 0.16197427876259993, 0.17580813347236704, 0.1802572123740007, 0.18421967327076816, 0.18435870698644422]]","[[0.4600381851196289, 0.23817412555217743, 0.14054811000823975, 0.09109604358673096, 0.08061303198337555, 0.08612031489610672, 0.07249309867620468, 0.0843520537018776, 0.11072299629449844, 0.08098962157964706]]"
12,"[[0.03571428571428571, 0.1095438175270108, 0.12965186074429771, 0.13707983193277312, 0.14383253301320528, 0.1568877551020408, 0.17331932773109243, 0.18104741896758703, 0.17729591836734693, 0.1796218487394958]]","[[0.42266541719436646, 0.18678513169288635, 0.15037712454795837, 0.13415125012397766, 0.07999696582555771, 0.12124321609735489, 0.0823679193854332, 0.1201271265745163, 0.1257352977991104, 0.10184551775455475]]"
11,"[[0.040980247520695026, 0.11253175969182853, 0.13031718711581017, 0.1392508810753217, 0.14851241701499876, 0.1615441357265798, 0.17449389394311943, 0.18318170641750675, 0.18236210146709286, 0.1854766002786657]]","[[0.4374407231807709, 0.1553906351327896, 0.0863243043422699, 0.08568118512630463, 0.08888207376003265, 0.06325159966945648, 0.0631026029586792, 0.0969223603606224, 0.10017742961645126, 0.06727220118045807]]"
10,"[[0.040645980765741246, 0.10860097985846488, 0.1263835964434767, 0.1359099981854473, 0.14271457085828343, 0.15296679368535657, 0.16621302848847758, 0.15886409000181456, 0.17301760116131373, 0.1722010524405734]]","[[0.23539960384368896, 0.16324672102928162, 0.16222882270812988, 0.10514924675226212, 0.0855942815542221, 0.07215244323015213, 0.1085936650633812, 0.07831355184316635, 0.038818422704935074, 0.04571906849741936]]"
9,"[[0.045468447344275666, 0.1116321745335916, 0.12498725660108063, 0.1373228667550209, 0.14445917014986237, 0.15353247018044652, 0.16943623203180752, 0.17259659496380875, 0.17463553879090632, 0.1738199612600673]]","[[0.27636367082595825, 0.16896452009677887, 0.1169673427939415, 0.09676413983106613, 0.06950721144676208, 0.06975772976875305, 0.06278805434703827, 0.10665363073348999, 0.07820422202348709, 0.07362209260463715]]"
8,"[[0.023864422411805395, 0.11159787871800785, 0.13546230112981322, 0.14307124740604105, 0.14918146183998154, 0.15782799169933134, 0.16820382753055108, 0.17304588425178696, 0.17177772653908233, 0.1747751902236569]]","[[0.4255129396915436, 0.13539651036262512, 0.112843357026577, 0.10031946003437042, 0.06665030866861343, 0.061025671660900116, 0.10516581684350967, 0.06406718492507935, 0.08679991215467453, 0.1201779842376709]]"
7,"[[0.03518639633747547, 0.10464355788096795, 0.11641595814257685, 0.12674950948332242, 0.13355134074558536, 0.1484630477436233, 0.16245912361020276, 0.18234139960758666, 0.1815565729234794, 0.1815565729234794]]","[[0.35887664556503296, 0.12028540670871735, 0.09405846893787384, 0.10357353836297989, 0.09539847075939178, 0.044639479368925095, 0.07958700507879257, 0.06642331182956696, 0.06468863040208817, 0.06388802081346512]]"
6,"[[0.03958744122554224, 0.11481874715607462, 0.12361595631730624, 0.13059305323828302, 0.13893523433945093, 0.1536478082815107, 0.16790535416350674, 0.17124222660397392, 0.17351736690429242, 0.17200060670408007]]","[[0.2678026258945465, 0.16196410357952118, 0.10118486732244492, 0.06607417017221451, 0.059636108577251434, 0.04495507851243019, 0.04501231387257576, 0.06630368530750275, 0.03409962356090546, 0.03957175463438034]]"
15,"[[0.041005291005291, 0.11652236652236653, 0.13558201058201058, 0.14267676767676768, 0.14935064935064934, 0.16456228956228955, 0.18205868205868206, 0.19660894660894662, 0.20015632515632514, 0.1988936988936989]]","[[0.40619951486587524, 0.13932420313358307, 0.1502106934785843, 0.09610038995742798, 0.11274193227291107, 0.11608197540044785, 0.0788143128156662, 0.10692155361175537, 0.07859210669994354, 0.0939752608537674]]"
14,"[[0.006723676480188002, 0.08172857236112017, 0.1417194333833801, 0.14341667210653436, 0.14955284287486129, 0.1604543377505059, 0.17971146941706378, 0.19655329982374828, 0.20595339121352568, 0.2032769763039363]]","[[0.9255717992782593, 0.2758035957813263, 0.15213775634765625, 0.1485229730606079, 0.11071375757455826, 0.08919256925582886, 0.07334990054368973, 0.08116892725229263, 0.08418544381856918, 0.0938090831041336]]"
13,"[[0.02348639336192954, 0.10906406019267281, 0.1334645946135996, 0.1424653681175726, 0.1464032065255608, 0.1572322621475283, 0.17614795021447155, 0.19196962238942408, 0.20111103297939667, 0.19752478728640743]]","[[0.3777652382850647, 0.1829574555158615, 0.1496400535106659, 0.12500323355197906, 0.06368675827980042, 0.06533781439065933, 0.09058647602796555, 0.07887987792491913, 0.11477341502904892, 0.11362725496292114]]"
